Motor,count
2.7 V6 HSE,1
turbo-naftero 1.3 litros 175 CV,1
1.8 cc,1
TURBO 1.3,1
1.6 115CV 16V,1
"4 cilindros, 2.0 litros, turbo de 306 CV",1
2.8 204CV TOYOTA,1
1.6 turbo 165 Hp,1
2.8 td 204cv,1
2.0 CRDI 136,1
2.0 CRDI (Diesel),1
1.6 Turbo 178Cv,1
1.6 GDI Turbo,1
1.6 Turbo 180HP,1
1.6 thp 165 cv,1
1.6 THP 165 CV,1
1.6 TURBO,1
116 hp,1
3.8 V6,1
1.6 123Hp,1
1.6 NAFTERA,1
NAFTA,1
4.6,1
2.0 Turbo 250cv,1
2.0 245 cv,1
3.2 v6,1
2.1,1
1.3 163CV.,1
1.3 163cv,1
1.0 200 TSI 116 CV,1
TSI,1
1.0 200TSI TIP,1
6 CILINDROS,1
200 TSi,1
"1,0TSI",1
200TSI 1.0 TIP,1
3.0 6 cilindros,1
4.0 V8 585 HP,1
3498 CM3,1
V8 5.0 (292 HP),1
2.0 TD,1
1.3 TURBO NAFTA 175 CV,1
2.0 265HP,1
1.0 3 CILINDROS,1
TSI 1.0,1
2.0TFSI,1
3.5 V6 24V,1
2.0 tfsi 245cv,1
45 tfsi 245 cv,1
V8 4.0 659HP,1
3.0 V6 Turbo 340CV,1
2.0 252cv,1
35 tfsi 150 cv,1
2.0T QUATTRO S-TRONIC,1
2.0T 190cv,1
1000 TURBO,1
1.0 TURBO 270,1
1.0 t,1
1.0T,1
1.3 T 270,1
3.6 OVERLAND,1
1.3 Turbo T270,1
3.6 L AT8 4x4,1
1.3 100CV.,1
320HP,1
